07/31/16 21:27:39 | I | checking fishing fatigue
07/31/16 21:27:39 | I | catches until fatigued: 197
07/31/16 21:27:39 | I | checking equipped fishing rod
07/31/16 21:27:39 | D | wardrobe3 slot: 5, id: 17015
07/31/16 21:27:39 | I | checking inventory space
07/31/16 21:27:39 | D | inventory count: 70, max: 80
07/31/16 21:27:39 | I | checking equipped bait
07/31/16 21:27:39 | D | wardrobe3 slot: 35, id: 16998
07/31/16 21:27:39 | W | casting fishing rod
07/31/16 21:27:39 | D | outgoing fish command: 1A0EA702A4CD05005E050E0000000000000000000000000000000000
07/31/16 21:27:39 | D | status changed to fishing
07/31/16 21:27:53 | D | outgoing fishing action: 100BCA02A4CD0500000000005E05020000000000
07/31/16 21:27:54 | D | incoming fish hooked: 3608CA02A4CD05005E052C9C06000000
07/31/16 21:27:54 | D | incoming fish info: 150DCB0258090C006F000A0040016E002900000018000000
07/31/16 21:27:54 | I | catching fish in 5.30 seconds
07/31/16 21:27:54 | D | incoming fish intuition: 2A100000A4CD0500311100000000000000000000000000005E05599C00000000
07/31/16 21:27:59 | W | sending catch command
07/31/16 21:27:59 | D | outgoing fishing action: 100B0000A4CD0500000000005E05030018000000
07/31/16 21:28:00 | D | incoming fish caught: 2738D902A4CD05005E054B9C04000000311100000600000061C71D000D4237004B656E7361690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
07/31/16 21:28:00 | I | updating fishing fatigue
07/31/16 21:28:00 | D | catches until fatigued: 196
07/31/16 21:28:00 | I | updating fish database
07/31/16 21:28:00 | D | updated fish bite id: 20971530, item id: 4401
07/31/16 21:28:05 | D | outgoing fishing action: 100BE702A4CD0500000000005E05040000000000
07/31/16 21:28:06 | D | status changed to idle
07/31/16 21:28:06 | I | casting in 7.58 seconds
07/31/16 21:28:13 | I | checking fishing fatigue
07/31/16 21:28:13 | I | catches until fatigued: 196
07/31/16 21:28:13 | I | checking equipped fishing rod
07/31/16 21:28:13 | D | wardrobe3 slot: 5, id: 17015
07/31/16 21:28:13 | I | checking inventory space
07/31/16 21:28:13 | D | inventory count: 70, max: 80
07/31/16 21:28:13 | I | checking equipped bait
07/31/16 21:28:13 | D | wardrobe3 slot: 35, id: 16998
07/31/16 21:28:13 | W | casting fishing rod
07/31/16 21:28:14 | D | outgoing fish command: 1A0EFC02A4CD05005E050E0000000000000000000000000000000000
07/31/16 21:28:15 | D | status changed to fishing
07/31/16 21:28:29 | D | outgoing fishing action: 100B2003A4CD0500000000005E05020000000000
07/31/16 21:28:29 | D | incoming fish hooked: 36082003A4CD05005E052C9C06000000
07/31/16 21:28:29 | D | incoming fish info: 150D2103A0080C0071000A0040016E002900000018000000
07/31/16 21:28:29 | I | catching fish in 4.35 seconds
07/31/16 21:28:29 | D | incoming fish intuition: 2A100000A4CD0500311100000000000000000000000000005E05599C00000000
07/31/16 21:28:34 | W | sending catch command
07/31/16 21:28:34 | D | outgoing fishing action: 100B0000A4CD0500000000005E05030018000000
07/31/16 21:28:34 | D | incoming fish caught: 27382D03A4CD05005E054B9C04000000311100000500000000000000000000004B656E7361690000000000000000000004000000430100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
07/31/16 21:28:34 | I | updating fishing fatigue
07/31/16 21:28:34 | D | catches until fatigued: 195
07/31/16 21:28:34 | I | updating fish database
07/31/16 21:28:34 | D | updated fish bite id: 20971530, item id: 4401
07/31/16 21:28:40 | D | outgoing fishing action: 100B3B03A4CD0500000000005E05040000000000
07/31/16 21:28:41 | D | status changed to idle
07/31/16 21:28:41 | I | casting in 6.99 seconds
07/31/16 21:28:48 | I | checking fishing fatigue
07/31/16 21:28:48 | I | catches until fatigued: 195
07/31/16 21:28:48 | I | checking equipped fishing rod
07/31/16 21:28:48 | D | wardrobe3 slot: 5, id: 17015
07/31/16 21:28:48 | I | checking inventory space
07/31/16 21:28:48 | D | inventory count: 70, max: 80
07/31/16 21:28:48 | I | checking equipped bait
07/31/16 21:28:48 | D | wardrobe3 slot: 35, id: 16998
07/31/16 21:28:48 | W | casting fishing rod
07/31/16 21:28:48 | D | outgoing fish command: 1A0E5003A4CD05005E050E0000000000000000000000000000000000
